SEGURADORA;Automóvel 🚘;Caminhão 🚛;Motociclieta 🏍️;Empresarial 🏭;Residencial 🏠;Vida 🖤;Condomínio 🏢;Rural 🚜;Outros 💼
AIG;;1;;1;;;;1;1
AKAD;;;;;;;;;1
ALLIANZ;1;1;1;1;1;1;1;1;
ARGO;;;;;;;;;1
AXA;;;;;;;;;1
BERKLEY;;;;;;;;;1
BRADESCO;1;1;1;1;1;1;1;;
CHUBB;;;;;;;;;1
ESSOR;;;;;;;;;1
EXCELSIOR;;;;;;;;;1
EZZE;;;;;;;;;1
FAIRFAX;;;;;;;;;1
FATOR;;;;;;;;;1
HDI;1;1;1;1;1;;1;;
KOVR;;;;;;;;;
LIBERTY;1;1;;1;1;1;;;
MAG;;;;;;1;;;
MAPFRE;1;1;1;1;1;1;;1;
METLIFE;;;;;;1;;;
NEWE;;;;;;;;;1
PORTO SEGURO;1;1;1;1;1;1;1;1;
POTTENCIAL;;;;1;1;;;;1
PRUDENTIAL;;;;;;1;;;
SANCOR;1;;;;1;;;;
SOMBRERO;;;;;;;;;1
SUHAI;1;1;1;;;;;;
SULAMERICA;;;;;;1;;;
SURA;;;;;1;;;;
SWISSRE;;;;;;;;1;
TOKIO MARINE;1;1;1;1;1;1;1;;
ZURICH;1;1;1;1;1;1;;;
